"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 18 12:11:33 GMT 2022","Mon Jul 18 12:11:38 GMT 2022","5270","webkit","redmine.testing.spec.js","Redmine testing","","","Check Description option on Issue tab",""
"passed","Mon Jul 18 12:10:38 GMT 2022","Mon Jul 18 12:10:41 GMT 2022","3230","chromium","redmine.testing.spec.js","Redmine testing","","","Verify search page",""
"passed","Mon Jul 18 12:10:49 GMT 2022","Mon Jul 18 12:10:53 GMT 2022","3711","chromium","redmine.testing.spec.js","Redmine testing","","","Check Description option on Issue tab",""
"passed","Mon Jul 18 12:10:44 GMT 2022","Mon Jul 18 12:10:47 GMT 2022","2753","chromium","redmine.testing.spec.js","Redmine testing","","","Check Registration warning message section",""
"passed","Mon Jul 18 12:11:29 GMT 2022","Mon Jul 18 12:11:33 GMT 2022","3862","webkit","redmine.testing.spec.js","Redmine testing","","","Check filters on Issue tab",""
"passed","Mon Jul 18 12:11:06 GMT 2022","Mon Jul 18 12:11:10 GMT 2022","3677","firefox","redmine.testing.spec.js","Redmine testing","","","Check filters on Issue tab",""
"passed","Mon Jul 18 12:10:47 GMT 2022","Mon Jul 18 12:10:49 GMT 2022","2910","chromium","redmine.testing.spec.js","Redmine testing","","","Check filters on Issue tab",""
"passed","Mon Jul 18 12:11:10 GMT 2022","Mon Jul 18 12:11:15 GMT 2022","5007","firefox","redmine.testing.spec.js","Redmine testing","","","Check Description option on Issue tab",""
"passed","Mon Jul 18 12:11:16 GMT 2022","Mon Jul 18 12:11:21 GMT 2022","5616","webkit","redmine.testing.spec.js","Redmine testing","","","Verify search page",""
"passed","Mon Jul 18 12:11:21 GMT 2022","Mon Jul 18 12:11:25 GMT 2022","3927","webkit","redmine.testing.spec.js","Redmine testing","","","Verify LogIn warning message",""
"passed","Mon Jul 18 12:10:41 GMT 2022","Mon Jul 18 12:10:44 GMT 2022","2526","chromium","redmine.testing.spec.js","Redmine testing","","","Verify LogIn warning message",""
"passed","Mon Jul 18 12:10:59 GMT 2022","Mon Jul 18 12:11:02 GMT 2022","3879","firefox","redmine.testing.spec.js","Redmine testing","","","Verify LogIn warning message",""
"passed","Mon Jul 18 12:11:25 GMT 2022","Mon Jul 18 12:11:29 GMT 2022","3881","webkit","redmine.testing.spec.js","Redmine testing","","","Check Registration warning message section",""
"passed","Mon Jul 18 12:10:54 GMT 2022","Mon Jul 18 12:10:59 GMT 2022","4776","firefox","redmine.testing.spec.js","Redmine testing","","","Verify search page",""
"passed","Mon Jul 18 12:11:02 GMT 2022","Mon Jul 18 12:11:06 GMT 2022","3443","firefox","redmine.testing.spec.js","Redmine testing","","","Check Registration warning message section",""
